yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
19404,10.58,0.670,1.050,0.7290475101,0.0002,0.0271,0.0445,0.0194,NaN,0.0125891885,0.0000500000,0.0047506000,0.0305220958,0.0089050390,0.0078871144,0.0042619728,NaN,0.0137752153,-0.0070233034,NaN,0.310
19411,9.96,0.680,1.060,0.8042698827,0.0011,0.0280,0.0438,0.0206,NaN,0.0100605750,0.0002750000,0.0047281000,-0.0087143459,-0.0010022808,0.0059715526,0.0018550226,NaN,-0.0416407788,-0.0549006230,NaN,0.310
19412,9.85,0.690,1.090,0.8015267176,0.0012,0.0277,0.0431,0.0191,NaN,0.0089675066,0.0003000000,0.0351338425,0.0223380199,0.0191184708,0.0045224717,0.0022238989,NaN,0.0061335491,-0.0121985380,NaN,0.270
19413,10.20,0.700,1.190,0.7782684119,0.0010,0.0275,0.0430,0.0193,NaN,0.0102838552,0.0002500000,0.0316763493,0.0027991552,0.0145680828,0.0027015953,0.0026685511,NaN,0.0481673037,0.0333211116,NaN,0.300
19414,8.69,0.710,1.160,0.8895097332,0.0033,0.0280,0.0438,0.0204,NaN,0.0103428263,0.0008250000,0.0219731965,-0.0068363514,-0.0054355792,0.0092768080,0.0034469828,NaN,-0.1233367515,-0.1466251471,NaN,0.280
19421,8.01,0.690,1.040,1.0348638601,0.0025,0.0286,0.0430,0.0244,NaN,0.0101204616,0.0006250000,0.0343535782,0.0172812598,0.0060982570,0.0065718916,0.0030109638,NaN,-0.0601034899,-0.0738732370,NaN,0.190
19422,8.30,0.660,0.980,0.9967098897,0.0037,0.0285,0.0433,0.0244,NaN,0.0101983055,0.0009250000,0.0187133418,0.0048796235,0.0060100441,0.0052338319,0.0032658448,NaN,0.0539217236,0.0346427256,NaN,0.210
19423,8.85,0.620,0.940,0.9440014664,0.0038,0.0280,0.0426,0.0244,NaN,0.0062435384,0.0009500000,0.0122657708,0.0059085221,0.0075180140,0.0031882119,0.0028007712,NaN,0.0860640061,0.0709394624,NaN,0.260
19424,9.77,0.590,1.030,0.8626465662,0.0038,0.0281,0.0428,0.0246,NaN,0.0018120043,0.0009500000,0.0241894389,0.0037861688,0.0061062418,0.0030570432,0.0051009425,NaN,0.1243489391,0.1011568182,NaN,0.370
19431,11.58,0.590,1.070,0.7834809988,0.0038,0.0276,0.0401,0.0247,NaN,0.0018918598,0.0009500000,0.0176611094,0.0037008685,0.0075139459,0.0029332408,0.0073223493,NaN,0.2026085186,0.1896979329,NaN,0.230
19432,12.35,0.590,1.100,0.7462686567,0.0038,0.0272,0.0388,0.0244,NaN,0.0012001053,0.0009500000,0.0173764546,0.0116416832,0.0145701929,0.0046509015,0.0013497331,NaN,0.0793889684,0.0660558076,NaN,0.240
19433,12.08,0.600,1.080,0.7636311733,0.0038,0.0269,0.0383,0.0246,NaN,0.0136934780,0.0009500000,-0.0076776364,0.0031019898,0.0043055118,0.0047480370,0.0016281149,NaN,-0.0112610631,-0.0217673125,NaN,0.240
19434,11.67,0.610,0.940,0.7874015748,0.0038,0.0274,0.0382,0.0248,NaN,0.0144225261,0.0009500000,0.0038351091,0.0023009000,0.0016864001,0.0037543511,0.0019623979,NaN,-0.0130940692,-0.0301162503,NaN,0.230
19441,12.02,0.620,0.930,0.8138864880,0.0038,0.0274,0.0370,0.0247,NaN,0.0191453147,0.0009500000,-0.0038350161,0.0074178641,0.0102327526,0.0019188805,0.0015918007,NaN,0.0470722010,0.0351649294,NaN,0.220
19442,12.98,0.630,0.920,0.7615581615,0.0038,0.0273,0.0359,0.0248,NaN,0.0182017583,0.0009500000,0.0115127094,0.0049069229,0.0059095034,0.0018936573,0.0027429124,NaN,0.0923351870,0.0779879409,NaN,0.230
19443,12.78,0.640,0.900,0.7723327182,0.0038,0.0272,0.0356,0.0247,NaN,0.0089627427,0.0009500000,0.0094822612,0.0077185536,0.0087245020,0.0026151764,0.0029150307,NaN,-0.0057447101,-0.0156690662,NaN,0.220
19444,13.28,0.640,0.930,0.7437635753,0.0038,0.0270,0.0349,0.0246,NaN,0.0190624465,0.0009500000,0.0037594000,0.0078180121,0.0217090859,0.0019717884,0.0035223172,NaN,0.0654689833,0.0481995353,NaN,0.260
19451,13.64,0.650,0.960,0.7678826431,0.0038,0.0262,0.0338,0.0236,NaN,0.0159625278,0.0009500000,-0.0018779000,0.0226408354,0.0140569829,0.0034667570,0.0040766101,NaN,0.0370882882,0.0266812325,NaN,0.250
19452,14.96,0.650,1.000,0.7188430455,0.0038,0.0261,0.0329,0.0217,NaN,0.0194663167,0.0009500000,0.0187233681,0.0389561542,0.0039002537,0.0031854028,0.0041469851,NaN,0.1150266540,0.1022766264,NaN,0.270
19453,16.16,0.660,0.990,0.6568208317,0.0038,0.0262,0.0324,0.0221,NaN,0.0176069197,0.0009500000,-0.0018535018,-0.0006548807,0.0024973186,0.0053493122,0.0036217464,NaN,0.0851013104,0.0756671719,NaN,0.210
19454,17.36,0.660,0.960,0.6132393344,0.0038,0.0261,0.0310,0.0199,NaN,0.0255252783,0.0009500000,0.0073800663,0.0428767820,0.0197954962,0.0039677724,0.0043280057,NaN,0.0891420467,0.0759283078,NaN,0.230
19461,18.08,0.680,0.900,0.6148526759,0.0038,0.0247,0.0294,0.0198,NaN,0.0311878756,0.0009500000,0.0036360163,0.0067137080,0.0196987480,0.0100841549,0.0036328539,NaN,0.0489116960,0.0398164305,NaN,0.190
19462,18.43,0.680,0.840,0.5967318354,0.0038,0.0249,0.0303,0.0206,NaN,0.0335915715,0.0009500000,0.0218485001,-0.0077865866,-0.0005127455,0.0038319704,0.0030619250,NaN,0.0279593885,0.0189902536,NaN,0.210
19463,14.96,0.690,0.890,0.7116343812,0.0038,0.0258,0.0310,0.0219,NaN,0.0491119446,0.0009500000,0.0927527432,-0.0159420500,-0.0125634675,0.0197090145,0.0026064326,NaN,-0.1886146885,-0.1956965065,NaN,0.260
19464,15.30,0.710,1.060,0.6924379233,0.0038,0.0261,0.0317,0.0212,NaN,0.0360760605,0.0009500000,0.0517678518,0.0164884606,0.0107892935,0.0127459521,0.0017810408,NaN,0.0369616039,0.0227194629,NaN,0.400
19471,15.17,0.720,1.270,0.7415349887,0.0038,0.0255,0.0315,0.0213,NaN,0.0310199797,0.0009500000,0.0199518279,0.0035017375,0.0077069517,0.0058871475,0.0008036463,0.0355083126,-0.0016878172,-0.0123587481,NaN,0.400
19472,15.21,0.760,1.440,0.7411167513,0.0038,0.0255,0.0321,0.0216,NaN,0.0264727428,0.0009500000,0.0036363600,0.0005873778,0.0044056016,0.0068112253,0.0038172362,0.0345869230,0.0112929439,-0.0024940131,NaN,0.380
19473,15.11,0.790,1.550,0.7403233985,0.0080,0.0261,0.0323,0.0213,NaN,0.0240585500,0.0020000000,0.0344202900,0.0099874455,-0.0181472040,0.0041873443,0.0043268967,0.0335821568,0.0055001301,-0.0056983045,NaN,0.370
19474,15.30,0.840,1.610,0.7253256790,0.0095,0.0286,0.0352,0.0243,NaN,0.0259215953,0.0023750000,0.0249562200,-0.0398317361,-0.0172500272,0.0024528030,0.0047609245,0.0343600537,0.0334456370,0.0142267313,NaN,0.460
19481,15.08,0.850,1.710,0.8414221219,0.0100,0.0283,0.0353,0.0241,NaN,0.0271870255,0.0025000000,0.0038445100,0.0100316713,0.0178819176,0.0048865231,0.0058085148,0.0361616489,-0.0012431429,-0.0143396667,NaN,0.500
19482,16.74,0.850,1.860,0.7869735036,0.0100,0.0276,0.0334,0.0238,NaN,0.0238936692,0.0025000000,0.0276595700,0.0101066770,-0.0037351652,0.0029117835,0.0031442365,0.0345093257,0.1259894535,0.1123584737,NaN,0.530
19483,15.49,0.870,2.070,0.8362310712,0.0109,0.0284,0.0345,0.0242,NaN,0.0191280822,0.0027250000,0.0086956500,-0.0006030103,0.0026720514,0.0063476321,0.0030531024,0.0342687088,-0.0635706465,-0.0751954284,NaN,0.580
19484,15.20,0.930,2.290,0.8409475465,0.0116,0.0279,0.0353,0.0237,NaN,0.0150145541,0.0029000000,-0.0127257800,0.0139518298,0.0241634572,0.0079538714,0.0016330103,0.0348295351,-0.0004910008,-0.0220598449,NaN,0.680
19491,15.06,0.980,2.380,0.9017504235,0.0117,0.0270,0.0347,0.0227,NaN,0.0146589662,0.0029250000,-0.0058212100,0.0206374173,0.0083197701,0.0038435590,0.0027170669,0.0328508617,0.0039462653,-0.0119815311,NaN,0.590
19492,14.16,1.020,2.400,0.9538884243,0.0117,0.0271,0.0347,0.0217,NaN,0.0168124176,0.0029250000,0.0004182300,0.0197522249,0.0145600534,0.0032047424,0.0040919143,0.0313198104,-0.0459030064,-0.0617654192,NaN,0.550
19493,15.58,1.040,2.390,0.8750205468,0.0107,0.0260,0.0337,0.0212,NaN,0.0233434075,0.0026750000,-0.0071070200,0.0133207497,0.0157652669,0.0032620110,0.0026298133,0.0295802740,0.1156694940,0.1002122962,NaN,0.570
19494,16.76,1.140,2.320,0.7964292839,0.0110,0.0258,0.0331,0.0209,NaN,0.0271755847,0.0027500000,-0.0058947400,0.0092248107,-0.0058137340,0.0019956031,0.0042520180,0.0289348302,0.1047266739,0.0762985949,NaN,0.610
19501,17.29,1.170,2.370,0.8255277845,0.0112,0.0258,0.0324,0.0215,NaN,0.0292913420,0.0028000000,0.0012706500,-0.0032160202,0.0066122757,0.0020394697,0.0045526400,0.0296459018,0.0482021189,0.0320445937,NaN,0.640
19502,17.69,1.200,2.540,0.8134474678,0.0115,0.0262,0.0328,0.0216,NaN,0.0303966588,0.0028750000,0.0101522800,0.0037941253,0.0006969615,0.0072109902,0.0041153743,0.0321442166,0.0355691009,0.0210613204,NaN,0.720
19503,19.45,1.330,2.720,0.7514578547,0.0130,0.0264,0.0321,0.0220,NaN,0.0259142089,0.0032500000,0.0192629800,-0.0003420354,0.0067843877,0.0055042281,0.0040318334,0.0347802132,0.1292425979,0.1071183876,NaN,0.750
19504,20.41,1.470,2.840,0.7225384419,0.0134,0.0267,0.0320,0.0224,NaN,0.0313582559,0.0033500000,0.0262941700,0.0002810931,0.0069062501,0.0067066205,0.0056625153,0.0343903898,0.0845843179,0.0545477730,NaN,0.730
19511,21.40,1.520,2.830,0.7813946002,0.0140,0.0278,0.0323,0.0241,NaN,0.0326867713,0.0035000000,0.0360288200,-0.0173171262,-0.0261489119,0.0035829975,0.0057490293,0.0331848778,0.0617048416,0.0467176903,NaN,0.630
19512,20.96,1.560,2.720,0.8003626772,0.0145,0.0294,0.0349,0.0259,NaN,0.0363411209,0.0036250000,0.0019319900,-0.0192749595,-0.0116763426,0.0033923914,0.0040645158,0.0333715083,-0.0086476015,-0.0233017086,NaN,0.610
19513,23.26,1.520,2.510,0.7161823278,0.0163,0.0284,0.0346,0.0253,NaN,0.0287995059,0.0040750000,0.0038565400,0.0156459270,0.0262505379,0.0022447564,0.0039337103,0.0334694464,0.1279430451,0.1124260200,NaN,0.540
19514,23.77,1.410,2.440,0.7213163466,0.0173,0.0301,0.0361,0.0269,NaN,0.0361507878,0.0043250000,0.0169035700,-0.0186366570,-0.0148305170,0.0029620943,0.0041468933,0.0325029563,0.0396431287,0.0201659263,NaN,0.660
19521,24.37,1.420,2.400,0.7518741186,0.0159,0.0296,0.0351,0.0263,-0.0037795312,0.0320941367,0.0039750000,-0.0030222900,0.0153505835,0.0189162045,0.0021018372,0.0033227299,0.0323839275,0.0444652241,0.0296180311,NaN,0.590
19522,24.96,1.450,2.340,0.7387150879,0.0170,0.0294,0.0350,0.0259,0.0046378769,0.0277312703,0.0042500000,0.0053050400,0.0140476931,0.0043030780,0.0016595585,0.0044307208,0.0325056381,0.0382748582,0.0238322389,NaN,0.550
19523,24.54,1.450,2.360,0.7486789106,0.0171,0.0295,0.0352,0.0277,0.0052536196,0.0310380550,0.0042750000,0.0037693200,-0.0218691820,0.0060958419,0.0010755910,0.0035043688,0.0293480305,-0.0049799087,-0.0177589824,NaN,0.560
19524,26.57,1.410,2.400,0.6940733128,0.0209,0.0297,0.0351,0.0279,-0.0082361916,0.0265347164,0.0052250000,0.0030041300,0.0045636109,0.0055079667,0.0017530246,0.0034459187,0.0318507466,0.1022953348,0.0843719141,NaN,0.700
19531,25.29,1.410,2.430,0.7624968735,0.0201,0.0312,0.0357,0.0294,-0.0093587177,0.0240133528,0.0050250000,-0.0029951300,-0.0162443481,-0.0152285056,0.0015742751,0.0028973121,0.0333750902,-0.0356828492,-0.0482495414,NaN,0.620
19532,24.14,1.420,2.510,0.7954969060,0.0211,0.0340,0.0386,0.0301,-0.0100144208,0.0274618998,0.0052750000,0.0052572300,-0.0034053246,-0.0171278090,0.0029704537,0.0028537844,0.0333217318,-0.0321021712,-0.0451945322,NaN,0.630
19533,23.35,1.420,2.550,0.8082108771,0.0179,0.0329,0.0388,0.0284,-0.0074753875,0.0258766059,0.0044750000,0.0044826300,0.0330894767,0.0345785036,0.0023681310,0.0026094226,0.0337954218,-0.0229732631,-0.0366766956,NaN,0.600
19534,24.81,1.450,2.510,0.7597009612,0.0160,0.0313,0.0374,0.0274,-0.0052520143,0.0248222723,0.0040000000,-0.0007437700,0.0231144930,0.0326963198,0.0013666189,0.0027933096,0.0330952394,0.0778652318,0.0589164830,NaN,0.660
19541,26.94,1.470,2.550,0.8049158183,0.0103,0.0286,0.0351,0.0278,0.0126744888,0.0220934760,0.0025750000,0.0022329700,0.0391056589,0.0364720575,0.0011954861,0.0023267380,0.0318478656,0.0996711691,0.0850399579,NaN,0.660
19542,29.21,1.450,2.620,0.7324678440,0.0064,0.0290,0.0349,0.0272,0.0170952475,0.0183574190,0.0016000000,0.0003713300,0.0179357552,-0.0013335100,0.0020959837,0.0018383463,0.0312993194,0.0959005435,0.0829070688,NaN,0.700
19543,32.31,1.470,2.630,0.6777451035,0.0101,0.0289,0.0347,0.0271,0.0231918984,0.0168841886,0.0025250000,-0.0048255400,0.0087420082,0.0098304288,0.0024500628,0.0022077679,0.0319545307,0.1163681735,0.1036071542,NaN,0.610
19544,35.98,1.540,2.770,0.6041197854,0.0115,0.0290,0.0345,0.0272,0.0158733845,0.0269928125,0.0028750000,-0.0014919800,0.0044863304,0.0082210670,0.0026482811,0.0028454745,0.0316402802,0.1346203239,0.1181437460,NaN,0.800
19551,36.58,1.560,2.960,0.6077617769,0.0128,0.0302,0.0348,0.0288,0.0146326791,0.0279683419,0.0032000000,0.0007471000,-0.0232879146,-0.0068855278,0.0056039772,0.0028220555,0.0319959369,0.0295330961,0.0191927162,NaN,0.850
19552,41.03,1.570,3.220,0.5516416323,0.0141,0.0305,0.0351,0.0293,0.0022412124,0.0253639323,0.0035250000,-0.0029861900,-0.0002555155,0.0009946705,0.0020188678,0.0004541982,0.0337744177,0.1316153868,0.1207102792,NaN,0.960
19553,43.67,1.620,3.440,0.5336247911,0.0207,0.0313,0.0359,0.0298,-0.0073422047,0.0256339808,0.0051750000,0.0052414800,-0.0025756498,-0.0003443416,0.0089136029,0.0002063879,0.0351892710,0.0688895032,0.0588860485,NaN,0.830
19554,45.48,1.640,3.620,0.5098280098,0.0254,0.0315,0.0362,0.0295,-0.0017822835,0.0252445499,0.0063500000,0.0007448800,0.0135715902,0.0111066926,0.0050837608,0.0002437992,0.0357885812,0.0543552514,0.0400397312,NaN,0.980
19561,48.48,1.730,3.690,0.5310771996,0.0225,0.0310,0.0360,0.0303,-0.0045556055,0.0266950684,0.0056250000,0.0007443300,-0.0069223253,-0.0017631548,0.0032889871,0.0007414979,0.0347474393,0.0755605611,0.0659422981,NaN,0.920
19562,46.97,1.800,3.600,0.5515645927,0.0249,0.0326,0.0376,0.0299,-0.0092519106,0.0256715221,0.0062250000,0.0096690200,0.0136753035,-0.0081483524,0.0036883730,0.0009399364,0.0349506022,-0.0224000169,-0.0320866305,NaN,0.870
19563,45.35,1.840,3.460,0.5719095213,0.0284,0.0356,0.0407,0.0324,-0.0061734042,0.0293619492,0.0071000000,0.0073664800,-0.0344052159,-0.0287424479,0.0025187611,0.0013593543,0.0348886816,-0.0278154851,-0.0368965153,NaN,0.690
19564,46.67,1.740,3.410,0.5441768274,0.0321,0.0375,0.0437,0.0345,-0.0108588023,0.0261493673,0.0080250000,0.0102376600,-0.0287710810,-0.0309793649,0.0043938031,0.0009698413,0.0344663594,0.0411392858,0.0283158990,NaN,0.930
19571,44.11,1.730,3.400,0.5998188749,0.0308,0.0366,0.0443,0.0331,-0.0101630024,0.0265995947,0.0077000000,0.0083242900,0.0346972524,0.0343291261,0.0022882802,0.0010540988,0.0343862176,-0.0418559140,-0.0537910491,NaN,0.910
19572,47.37,1.730,3.420,0.5658765324,0.0329,0.0391,0.0463,0.0361,-0.0086259792,0.0305276914,0.0082250000,0.0089734400,-0.0420088591,-0.0457980739,0.0013628526,0.0021760295,0.0339781079,0.0863082153,0.0760022139,NaN,0.890
19573,42.42,1.760,3.470,0.6241507780,0.0353,0.0412,0.0493,0.0364,0.0000358657,0.0343625225,0.0088250000,0.0074706500,0.0036695338,-0.0025030560,0.0042182258,0.0011169848,0.0343829322,-0.0953081328,-0.1042025484,NaN,0.740
19574,39.99,1.790,3.370,0.6536757786,0.0304,0.0381,0.0503,0.0323,0.0094427905,0.0348731470,0.0076000000,0.0052966100,0.0802081284,0.1042643298,0.0096774924,0.0006679271,0.0331770641,-0.0528728037,-0.0647407406,NaN,0.830
19581,42.10,1.770,3.140,0.6685916376,0.0130,0.0363,0.0468,0.0321,0.0198998547,0.0289353475,0.0032500000,0.0140498800,0.0117314632,0.0044502564,0.0020399187,0.0001873211,0.0305291681,0.0648356904,0.0535668023,NaN,0.680
19582,45.24,1.730,2.930,0.6246601698,0.0083,0.0357,0.0455,0.0324,0.0264880102,0.0214366176,0.0020750000,0.0013855200,0.0024026302,0.0155766180,0.0016180812,0.0007577182,0.0290529433,0.0850911790,0.0741306794,NaN,0.680
19583,50.06,1.730,2.880,0.5613711966,0.0244,0.0409,0.0487,0.0380,0.0142366701,0.0139834782,0.0061000000,0.0000000000,-0.0809706388,-0.0559610202,0.0017947668,0.0013977792,0.0285004363,0.1167772698,0.1069023419,NaN,0.690
19584,55.21,1.750,2.890,0.5117793198,0.0277,0.0408,0.0485,0.0382,0.0079529952,0.0236868316,0.0069250000,0.0020754100,0.0073956226,0.0153887384,0.0030364572,0.0015858124,0.0294590164,0.1139541989,0.1038649761,NaN,0.840
19591,55.44,1.770,3.110,0.5168602815,0.0280,0.0413,0.0485,0.0403,0.0074388108,0.0249843896,0.0070000000,0.0000000000,0.0053125309,0.0013836728,0.0019211096,0.0017683065,0.0302474801,0.0164803465,0.0084492145,NaN,0.900
19592,58.47,1.790,3.400,0.4832193909,0.0321,0.0446,0.0504,0.0419,0.0043799806,0.0268820744,0.0080250000,0.0048325900,-0.0112063442,-0.0241288972,0.0018354213,0.0019170919,0.0310099164,0.0638596582,0.0554962661,NaN,0.970
19593,56.88,1.810,3.430,0.4923378926,0.0404,0.0452,0.0518,0.0429,0.0179879913,0.0305283913,0.0101000000,0.0048093400,-0.0038352898,-0.0067784674,0.0032673401,0.0013970167,0.0317999222,-0.0211313315,-0.0285723383,NaN,0.720
19594,59.89,1.830,3.390,0.4577837965,0.0449,0.0458,0.0528,0.0447,0.0204514744,0.0228563041,0.0112250000,0.0054700900,-0.0130249519,0.0203326116,0.0014254196,0.0009753718,0.0314590600,0.0618465442,0.0522756726,NaN,0.800
19601,55.34,1.940,3.390,0.5497980830,0.0331,0.0449,0.0525,0.0411,0.0105565308,0.0255934100,0.0082750000,0.0000000000,0.0609260431,0.0431884259,0.0030388098,0.0003609823,0.0324590824,-0.0688345387,-0.0766405230,NaN,0.900
19602,56.92,1.950,3.260,0.5291748619,0.0246,0.0445,0.0526,0.0407,0.0161553966,0.0242699263,0.0061500000,0.0068004100,0.0152059897,0.0097440551,0.0015676725,-0.0000042243,0.0327161557,0.0390295869,0.0300692650,NaN,0.840
19603,53.52,1.950,3.270,0.5843417106,0.0248,0.0425,0.0501,0.0387,0.0133300578,0.0283124670,0.0062000000,0.0000000000,0.0375773408,0.0311631757,0.0033864096,-0.0011943574,0.0316578750,-0.0513738838,-0.0592670588,NaN,0.730
19604,58.11,1.950,3.270,0.5504229651,0.0225,0.0435,0.0510,0.0380,0.0190566932,0.0227613608,0.0056250000,0.0067544800,0.0182567356,0.0041298618,0.0021676941,-0.0013625136,0.0312813599,0.0959867029,0.0858169409,NaN,0.800
19611,65.06,1.940,3.090,0.5466798694,0.0239,0.0422,0.0502,0.0397,0.0182486778,0.0227375905,0.0059750000,0.0010063700,0.0053523818,0.0331060787,0.0017035242,-0.0012149657,0.0304268999,0.1315282224,0.1231837282,NaN,0.720
19612,64.64,1.940,3.030,0.5408211006,0.0233,0.0433,0.0503,0.0404,0.0183635802,0.0224821258,0.0058250000,0.0000000000,-0.0007042532,-0.0147027853,0.0019624595,-0.0011481273,0.0308905876,0.0007717651,-0.0065413462,NaN,0.780
19613,66.73,1.960,3.050,0.5275167211,0.0228,0.0445,0.0512,0.0403,0.0091794866,0.0249633869,0.0057000000,0.0046916900,0.0125826584,0.0166243763,0.0018570884,-0.0022923683,0.0309588089,0.0395782477,0.0323402141,NaN,0.750
19614,71.55,2.020,3.190,0.5059222584,0.0260,0.0442,0.0510,0.0415,0.0078343787,0.0223242879,0.0065000000,0.0010006700,-0.0074777725,0.0128951675,0.0009648005,-0.0022107435,0.0318070889,0.0797219175,0.0708662682,NaN,0.940
19621,69.55,2.040,3.370,0.5457245916,0.0272,0.0439,0.0504,0.0398,0.0054240404,0.0240753041,0.0068000000,0.0053315600,0.0344103852,0.0285415482,0.0013561195,-0.0028841357,0.0323301667,-0.0213078721,-0.0281877367,NaN,0.900
19622,54.75,2.060,3.470,0.6873574686,0.0273,0.0428,0.0502,0.0401,0.0128353932,0.0264554418,0.0068250000,0.0013258200,0.0051401533,0.0115630800,0.0180956601,-0.0027952766,0.0330502772,-0.2063047806,-0.2131000668,NaN,0.880
19623,56.27,2.080,3.530,0.6663442606,0.0278,0.0432,0.0503,0.0398,0.0150741146,0.0306014188,0.0069500000,0.0069513400,0.0137425066,0.0217922791,0.0038224341,-0.0029218017,0.0332096455,0.0351591689,0.0264638342,NaN,0.810
19624,63.10,2.130,3.670,0.5916270511,0.0287,0.0424,0.0492,0.0395,0.0115142871,0.0199678967,0.0071750000,-0.0013149200,0.0140544517,0.0153721570,0.0052708904,-0.0027965748,0.0327148290,0.1348399822,0.1231272613,NaN,1.080
19631,66.57,2.150,3.710,0.5875285706,0.0289,0.0419,0.0488,0.0401,0.0056633597,0.0143800066,0.0072250000,0.0042791300,0.0016005499,0.0108349253,0.0014518118,-0.0029958802,0.0324118392,0.0624537224,0.0541668657,NaN,0.940
19632,69.37,2.200,3.840,0.5672815754,0.0299,0.0423,0.0484,0.0407,0.0052817209,0.0182630456,0.0074750000,0.0032776100,0.0029993248,0.0039741247,0.0008869191,-0.0027715822,0.0332008882,0.0498074597,0.0416403646,NaN,1.010
19633,71.70,2.210,3.960,0.5472236248,0.0338,0.0431,0.0484,0.0410,0.0109121105,0.0103132620,0.0084500000,0.0035936000,0.0056085926,0.0039952875,0.0011865950,-0.0015243919,0.0339267375,0.0406094399,0.0331106359,NaN,0.930
19634,75.02,2.280,4.020,0.5255914542,0.0352,0.0435,0.0485,0.0417,0.0101539441,0.0089546781,0.0088000000,0.0052083300,0.0018852480,0.0029855650,0.0038872822,-0.0014968686,0.0347286435,0.0570334273,0.0470252591,NaN,1.140
19641,78.98,2.330,4.180,0.5236754417,0.0354,0.0438,0.0483,0.0424,0.0118714314,0.0177831955,0.0088500000,0.0019430100,0.0011922957,0.0078592687,0.0003697564,-0.0018579462,0.0352474740,0.0628772932,0.0552935967,NaN,1.100
19642,81.69,2.380,4.330,0.5122068551,0.0348,0.0441,0.0485,0.0419,0.0126233192,0.0205029394,0.0087000000,0.0022624400,0.0166905921,0.0145694694,0.0008783858,-0.0019886295,0.0357798901,0.0416130599,0.0338788879,NaN,1.160
19643,84.18,2.440,4.470,0.4865371214,0.0353,0.0442,0.0482,0.0421,0.0129884434,0.0204030634,0.0088250000,0.0022573400,0.0078156080,0.0110379704,0.0007953194,-0.0019531682,0.0366010301,0.0376831449,0.0304375591,NaN,1.070
19644,84.75,2.500,4.550,0.4872273003,0.0384,0.0444,0.0481,0.0423,0.0111501965,0.0230944256,0.0096000000,0.0054697500,0.0090253319,0.0134384624,0.0007511480,-0.0023805734,0.0369364389,0.0156391208,0.0067574805,NaN,1.220
19651,86.16,2.550,4.680,0.4694899050,0.0393,0.0442,0.0478,0.0422,0.0070151208,0.0191333633,0.0098250000,0.0019200000,0.0108347902,0.0102180987,0.0007036398,-0.0021373681,0.0389549900,0.0259820830,0.0188191460,NaN,1.230
19652,84.12,2.610,4.840,0.4808589565,0.0380,0.0446,0.0485,0.0423,0.0134880225,0.0175502789,0.0095000000,0.0095816000,0.0101318905,0.0015987095,0.0023259032,-0.0023808197,0.0398644227,-0.0160190997,-0.0235060258,NaN,1.320
19653,89.96,2.660,4.980,0.4485374713,0.0392,0.0452,0.0491,0.0433,0.0043213039,0.0168945537,0.0098000000,0.0003163600,-0.0025059103,-0.0002030883,0.0009284733,-0.0013951451,0.0407614979,0.0772274618,0.0696602936,NaN,1.210
19654,92.43,2.720,5.190,0.4306378062,0.0438,0.0468,0.0502,0.0450,0.0059875902,0.0208371829,0.0109500000,0.0072738800,-0.0112893094,-0.0160094393,0.0006311740,-0.0008128875,0.0418326753,0.0354874019,0.0263594603,NaN,1.430
19661,89.23,2.780,5.340,0.4901759356,0.0459,0.0492,0.0532,0.0460,0.0052481729,0.0167876407,0.0114750000,0.0103610700,-0.0065801440,-0.0149710233,0.0014199010,-0.0004888765,0.0429386769,-0.0299947389,-0.0370535425,NaN,1.380
19662,84.74,2.830,5.460,0.5209746006,0.0450,0.0507,0.0558,0.0477,0.0022986814,0.0171222618,0.0112500000,0.0062150400,-0.0137433695,0.0016927099,0.0027879660,-0.0006660165,0.0428335671,-0.0420471854,-0.0499106243,NaN,1.440
19663,76.56,2.890,5.510,0.5854924957,0.0537,0.0549,0.0609,0.0480,-0.0023499610,0.0169838677,0.0134250000,0.0114268100,0.0081719905,-0.0279226602,0.0057793676,-0.0017065219,0.0425957418,-0.0886362674,-0.0965190927,NaN,1.260
19664,80.33,2.870,5.550,0.5769451056,0.0496,0.0539,0.0618,0.0455,-0.0126788680,0.0172079259,0.0124000000,0.0051908400,0.0492790237,0.0446311608,0.0039481342,-0.0000498789,0.0417532086,0.0604440334,0.0500170247,NaN,1.470
19671,90.20,2.900,5.450,0.5495507979,0.0426,0.0513,0.0585,0.0455,-0.0181473809,0.0149216835,0.0106500000,0.0024301300,0.0126202613,0.0359762473,0.0016470177,0.0007180707,0.0401912487,0.1320534780,0.1230517023,NaN,1.280
19672,90.64,2.900,5.330,0.5532048450,0.0354,0.0544,0.0615,0.0507,-0.0168194476,0.0101533857,0.0088500000,0.0090909100,-0.0630604509,-0.0538989316,0.0027981885,0.0017294553,0.0394516154,0.0137441441,0.0058032516,NaN,1.320
19673,96.71,2.920,5.300,0.5135648458,0.0442,0.0565,0.0640,0.0517,-0.0204217205,0.0056002036,0.0110500000,0.0090090100,-0.0020564572,0.0128290630,0.0008736064,0.0022640229,0.0386955362,0.0744573669,0.0665379845,NaN,1.230
19674,96.47,2.920,5.330,0.5257924451,0.0497,0.0619,0.0693,0.0556,-0.0264476925,0.0143610729,0.0124250000,0.0119047600,-0.0407452672,-0.0425282831,0.0016705799,0.0029522247,0.0389548660,0.0053155782,-0.0030550332,NaN,1.500
